path_43,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_44,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_45,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_46,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_47,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_48,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_49,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_50,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_51,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_52,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_53,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_54,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_55,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_56,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_57,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_58,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_59,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_60,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_61,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_62,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_63,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_64,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_65,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_66,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 273
path_67,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 273
path_68,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_69,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,11 321
path_70,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_71,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_72,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,11 65
path_73,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_74,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_75,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_76,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_77,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_78,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_79,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_80,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_81,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_82,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
min_path,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
