path_0,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 33
path_1,0 3,3 2,2 14,14 6,6 5,5 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 33
path_2,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 65
path_3,0 3,3 1,1 9,9 11,11 13,13 4,4 12,12 8,8 10,10 14,14 6,6 5,5 7,7 2,0 241
path_4,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_5,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_6,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_7,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_8,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 401
path_9,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_10,0 3,3 2,2 6,6 14,14 5,5 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_11,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_12,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_13,0 3,3 2,2 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,5 6,0 241
path_14,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_15,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_16,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_17,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_18,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_19,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_20,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_21,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_22,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_23,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_24,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
