path_0,0 41,41 6,6 31,31 1,1 36,36 37,37 10,10 23,23 4,4 44,44 49,49 12,12 22,22 2,2 26,26 45,45 14,14 42,42 38,38 28,28 40,40 20,20 48,48 8,8 32,32 43,43 39,39 11,11 15,15 17,17 46,46 7,7 29,29 25,25 16,16 33,33 13,13 9,9 19,19 21,21 18,18 35,35 34,34 27,27 5,5 47,47 24,24 30,30 3,0 65
path_25,0 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 35,35 41,41 31,31 5,5 1,1 36,36 37,37 10,10 23,23 4,4 27,27 34,34 6,6 28,28 40,40 20,20 32,32 8,8 43,43 39,39 48,48 38,38 42,42 14,14 45,45 26,26 2,2 44,44 49,49 22,22 12,12 47,47 24,0 801
path_26,0 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 35,35 41,41 31,31 5,5 1,1 36,36 37,37 10,10 23,23 4,4 27,27 34,34 6,6 28,28 40,40 20,20 32,32 8,8 43,43 39,39 48,48 38,38 42,42 14,14 45,45 26,26 2,2 44,44 49,49 22,22 12,12 47,47 24,0 801
path_27,0 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 35,35 41,41 31,31 5,5 1,1 36,36 37,37 10,10 23,23 4,4 27,27 34,34 6,6 28,28 40,40 20,20 32,32 8,8 43,43 39,39 48,48 38,38 42,42 14,14 45,45 26,26 2,2 44,44 49,49 22,22 12,12 47,47 24,0 801
path_28,0 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 35,35 41,41 31,31 5,5 1,1 36,36 37,37 10,10 23,23 4,4 27,27 34,34 6,6 28,28 40,40 20,20 32,32 8,8 43,43 39,39 48,48 38,38 42,42 14,14 45,45 26,26 2,2 44,44 49,49 22,22 12,12 47,47 24,0 801
path_29,0 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 35,35 41,41 6,6 31,31 5,5 1,1 36,36 37,37 10,10 23,23 4,4 27,27 34,34 28,28 40,40 20,20 32,32 8,8 43,43 39,39 48,48 38,38 42,42 14,14 45,45 26,26 2,2 44,44 49,49 22,22 12,12 47,47 24,0 801
path_30,0 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 35,35 41,41 6,6 31,31 5,5 1,1 36,36 37,37 10,10 23,23 4,4 27,27 34,34 28,28 40,40 20,20 32,32 8,8 43,43 39,39 48,48 38,38 42,42 14,14 45,45 26,26 2,2 44,44 49,49 22,22 12,12 47,47 24,0 801
path_31,0 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 35,35 41,41 6,6 31,31 5,5 1,1 36,36 37,37 10,10 23,23 4,4 27,27 34,34 28,28 40,40 20,20 32,32 8,8 43,43 39,39 48,48 38,38 42,42 14,14 45,45 26,26 2,2 44,44 49,49 22,22 12,12 47,47 24,0 1553
path_32,0 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 35,35 41,41 6,6 31,31 5,5 1,1 36,36 37,37 10,10 23,23 4,4 27,27 34,34 28,28 40,40 20,20 32,32 8,8 43,43 39,39 48,48 38,38 42,42 14,14 45,45 26,26 2,2 44,44 49,49 22,22 12,12 47,47 24,0 801
path_33,0 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 35,35 41,41 6,6 31,31 5,5 1,1 36,36 37,37 10,10 23,23 4,4 27,27 34,34 28,28 40,40 20,20 32,32 8,8 43,43 39,39 48,48 38,38 42,42 14,14 45,45 26,26 2,2 44,44 49,49 22,22 12,12 47,47 24,0 801
path_34,0 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 35,35 41,41 6,6 31,31 5,5 1,1 36,36 37,37 10,10 23,23 4,4 27,27 34,34 28,28 40,40 20,20 32,32 8,8 43,43 39,39 48,48 38,38 42,42 14,14 45,45 26,26 2,2 44,44 49,49 22,22 12,12 47,47 24,0 801
path_35,0 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 35,35 41,41 6,6 31,31 5,5 1,1 36,36 37,37 10,10 23,23 4,4 27,27 34,34 28,28 40,40 20,20 32,32 8,8 43,43 39,39 48,48 38,38 42,42 14,14 45,45 26,26 2,2 44,44 49,49 22,22 12,12 47,47 24,0 801
path_36,0 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 35,35 41,41 6,6 31,31 5,5 1,1 36,36 37,37 10,10 23,23 4,4 27,27 34,34 28,28 40,40 20,20 32,32 8,8 43,43 39,39 48,48 38,38 42,42 14,14 45,45 26,26 2,2 44,44 49,49 22,22 12,12 47,47 24,0 801
path_37,0 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 35,35 41,41 6,6 31,31 5,5 1,1 36,36 37,37 10,10 23,23 4,4 27,27 34,34 28,28 40,40 20,20 32,32 8,8 43,43 39,39 48,48 38,38 42,42 14,14 45,45 26,26 2,2 44,44 49,49 22,22 12,12 47,47 24,0 801
path_38,0 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 35,35 41,41 6,6 31,31 5,5 1,1 36,36 37,37 10,10 23,23 4,4 27,27 34,34 28,28 40,40 20,20 32,32 8,8 43,43 39,39 48,48 38,38 42,42 14,14 45,45 26,26 2,2 44,44 49,49 22,22 12,12 47,47 24,0 801
path_39,0 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 35,35 41,41 6,6 31,31 5,5 1,1 36,36 37,37 10,10 23,23 4,4 27,27 34,34 28,28 40,40 20,20 32,32 8,8 43,43 39,39 48,48 38,38 42,42 14,14 45,45 26,26 2,2 44,44 49,49 22,22 12,12 47,47 24,0 257
path_40,0 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 35,35 41,41 6,6 31,31 5,5 1,1 36,36 37,37 10,10 23,23 4,4 27,27 34,34 28,28 40,40 20,20 32,32 8,8 43,43 39,39 48,48 38,38 42,42 14,14 45,45 26,26 2,2 44,44 49,49 22,22 12,12 47,47 24,0 801
path_41,0 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 35,35 41,41 6,6 31,31 5,5 1,1 36,36 37,37 10,10 23,23 4,4 27,27 34,34 28,28 40,40 20,20 32,32 8,8 43,43 39,39 48,48 38,38 42,42 14,14 45,45 26,26 2,2 44,44 49,49 22,22 12,12 47,47 24,0 801
path_42,0 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 35,35 41,41 6,6 31,31 5,5 1,1 36,36 37,37 10,10 23,23 4,4 27,27 34,34 28,28 40,40 20,20 8,8 43,43 39,39 32,32 48,48 38,38 42,42 14,14 45,45 26,26 2,2 44,44 49,49 22,22 12,12 47,47 24,0 801
path_43,0 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 35,35 41,41 6,6 31,31 5,5 1,1 36,36 37,37 10,10 23,23 4,4 27,27 34,34 28,28 40,40 20,20 8,8 43,43 39,39 32,32 48,48 38,38 42,42 14,14 45,45 26,26 2,2 44,44 49,49 22,22 12,12 47,47 24,0 801
path_44,0 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 35,35 41,41 6,6 31,31 5,5 1,1 36,36 37,37 10,10 23,23 4,4 27,27 34,34 28,28 40,40 20,20 38,38 42,42 14,14 45,45 26,26 2,2 44,44 49,49 22,22 12,12 47,47 24,24 32,32 48,48 8,8 43,43 39,0 801
path_45,0 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 35,35 41,41 6,6 31,31 5,5 1,1 36,36 37,37 10,10 23,23 4,4 27,27 34,34 28,28 40,40 20,20 8,8 43,43 39,39 32,32 48,48 38,38 42,42 14,14 45,45 26,26 2,2 44,44 49,49 22,22 12,12 47,47 24,0 801
path_46,0 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 35,35 41,41 6,6 31,31 5,5 1,1 36,36 37,37 10,10 23,23 4,4 27,27 34,34 28,28 40,40 20,20 48,48 32,32 43,43 39,39 8,8 38,38 42,42 14,14 45,45 26,26 2,2 44,44 49,49 22,22 12,12 47,47 24,0 801
path_47,0 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 35,35 41,41 6,6 31,31 5,5 1,1 36,36 37,37 10,10 23,23 4,4 27,27 34,34 28,28 40,40 20,20 48,48 32,32 43,43 39,39 8,8 38,38 42,42 14,14 45,45 26,26 2,2 44,44 49,49 22,22 12,12 47,47 24,0 801
path_48,0 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 35,35 41,41 6,6 31,31 5,5 1,1 36,36 37,37 10,10 23,23 4,4 27,27 34,34 28,28 40,40 20,20 48,48 32,32 43,43 39,39 8,8 38,38 42,42 14,14 45,45 26,26 2,2 44,44 49,49 22,22 12,12 47,47 24,0 801
min_path,0 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 35,35 41,41 6,6 31,31 5,5 1,1 36,36 37,37 10,10 23,23 4,4 27,27 34,34 28,28 40,40 20,20 48,48 32,32 39,39 43,43 8,8 38,38 42,42 14,14 45,45 26,26 2,2 44,44 49,49 22,22 12,12 47,47 24,0 529
