path_15,0 41,41 35,35 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 28,28 40,40 20,20 48,48 32,32 8,8 43,43 39,39 38,38 42,42 14,14 45,45 26,26 2,2 22,22 12,12 49,49 44,44 23,23 4,4 27,27 34,34 6,6 31,31 1,1 5,5 36,36 37,37 10,10 47,47 24,0 801
path_16,0 41,41 35,35 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 28,28 40,40 20,20 48,48 32,32 8,8 43,43 39,39 38,38 42,42 14,14 45,45 26,26 2,2 22,22 12,12 49,49 44,44 23,23 4,4 27,27 34,34 6,6 31,31 1,1 5,5 36,36 37,37 10,10 47,47 24,0 801
path_17,0 41,41 35,35 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 28,28 40,40 20,20 48,48 32,32 8,8 43,43 39,39 38,38 42,42 14,14 45,45 26,26 2,2 22,22 12,12 49,49 44,44 23,23 4,4 27,27 34,34 6,6 31,31 1,1 5,5 36,36 37,37 10,10 47,47 24,0 801
path_18,0 41,41 35,35 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 28,28 40,40 20,20 48,48 32,32 8,8 43,43 39,39 38,38 42,42 14,14 45,45 26,26 2,2 22,22 12,12 49,49 44,44 23,23 4,4 27,27 34,34 6,6 31,31 1,1 5,5 36,36 37,37 10,10 47,47 24,0 801
path_19,0 41,41 35,35 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 28,28 40,40 20,20 48,48 32,32 8,8 43,43 39,39 38,38 42,42 14,14 45,45 26,26 2,2 22,22 12,12 49,49 44,44 23,23 4,4 27,27 34,34 6,6 31,31 1,1 5,5 36,36 37,37 10,10 47,47 24,0 801
path_20,0 41,41 35,35 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 28,28 40,40 20,20 48,48 32,32 8,8 43,43 39,39 38,38 42,42 14,14 45,45 26,26 2,2 22,22 12,12 49,49 44,44 23,23 4,4 27,27 34,34 6,6 31,31 1,1 5,5 36,36 37,37 10,10 47,47 24,0 801
path_21,0 41,41 35,35 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 28,28 40,40 20,20 48,48 32,32 8,8 43,43 39,39 38,38 42,42 14,14 45,45 26,26 2,2 22,22 12,12 49,49 44,44 23,23 4,4 27,27 34,34 6,6 31,31 1,1 5,5 36,36 37,37 10,10 47,47 24,0 33
path_22,0 41,41 35,35 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 28,28 40,40 20,20 48,48 32,32 8,8 43,43 39,39 38,38 42,42 14,14 45,45 26,26 2,2 44,44 23,23 4,4 27,27 34,34 6,6 31,31 1,1 5,5 36,36 37,37 10,10 49,49 12,12 22,22 47,47 24,0 65
path_23,0 41,41 35,35 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 28,28 40,40 20,20 48,48 32,32 8,8 43,43 39,39 38,38 42,42 14,14 45,45 26,26 2,2 44,44 23,23 4,4 27,27 34,34 6,6 31,31 1,1 5,5 36,36 37,37 10,10 49,49 12,12 22,22 47,47 24,0 65
path_24,0 41,41 35,35 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 28,28 40,40 20,20 48,48 32,32 8,8 43,43 39,39 38,38 42,42 14,14 45,45 26,26 2,2 44,44 23,23 4,4 27,27 34,34 6,6 31,31 1,1 5,5 36,36 37,37 10,10 49,49 12,12 22,22 47,47 24,0 65
path_25,0 41,41 35,35 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 28,28 40,40 20,20 48,48 32,32 8,8 43,43 39,39 38,38 42,42 14,14 45,45 26,26 2,2 44,44 23,23 4,4 27,27 34,34 6,6 31,31 1,1 5,5 36,36 37,37 10,10 49,49 12,12 22,22 47,47 24,0 801
path_26,0 41,41 35,35 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 28,28 40,40 20,20 48,48 32,32 8,8 43,43 39,39 38,38 42,42 14,14 45,45 26,26 2,2 44,44 23,23 4,4 27,27 34,34 6,6 31,31 1,1 5,5 36,36 37,37 10,10 49,49 12,12 22,22 47,47 24,0 193
path_27,0 41,41 35,35 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 28,28 40,40 20,20 48,48 32,32 8,8 43,43 39,39 38,38 42,42 14,14 45,45 26,26 2,2 44,44 23,23 4,4 27,27 34,34 6,6 31,31 1,1 5,5 36,36 37,37 10,10 49,49 12,12 22,22 47,47 24,0 801
path_28,0 41,41 35,35 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 28,28 40,40 20,20 48,48 32,32 8,8 43,43 39,39 38,38 42,42 14,14 45,45 26,26 2,2 44,44 23,23 4,4 27,27 34,34 6,6 31,31 1,1 5,5 36,36 37,37 10,10 49,49 22,22 12,12 47,47 24,0 801
min_path,0 41,41 35,35 13,13 9,9 19,19 33,33 16,16 25,25 29,29 46,46 7,7 17,17 15,15 11,11 3,3 30,30 21,21 18,18 28,28 40,40 20,20 48,48 32,32 8,8 43,43 39,39 38,38 42,42 14,14 45,45 26,26 2,2 44,44 23,23 4,4 27,27 34,34 6,6 31,31 1,1 5,5 36,36 37,37 10,10 49,49 22,22 12,12 47,47 24,0 529
